acc	R1	R2
SRR2316032	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316032/SRR2316032_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316032/SRR2316032_2.fastq.gz
SRR1564529	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1564529/SRR1564529_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1564529/SRR1564529_2.fastq.gz
SRR1564966	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564966/SRR1564966_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564966/SRR1564966_2.fastq.gz
SRR1565027	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1565027/SRR1565027_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1565027/SRR1565027_2.fastq.gz
SRR1568204	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1568204/SRR1568204_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1568204/SRR1568204_2.fastq.gz
SRR1565141	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1565141/SRR1565141_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1565141/SRR1565141_2.fastq.gz
SRR1568120	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1568120/SRR1568120_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1568120/SRR1568120_2.fastq.gz
SRR1564547	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1564547/SRR1564547_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1564547/SRR1564547_2.fastq.gz
SRR1565088	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1565088/SRR1565088_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1565088/SRR1565088_2.fastq.gz
SRR1565100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1565100/SRR1565100_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1565100/SRR1565100_2.fastq.gz
